0293/009,255 SUTTER ST,255 SUTTER ST,94108,241918, ,http://propertymap.sfplanning.org/?&search=0293/009,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/13,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0285/005,400 Sutter,400 SUTTER ST,94108,22830,Retail Store,http://propertymap.sfplanning.org/?&search=0285/005,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/13,Complied,,,,,,,,,,,,,,,44.6,,,,,24,65.8,-42.6,-42.5,44.6,2,24,65.8,,24.3,70.1,-38.7,-38.7,43.4,1.9,24.3,70.1,,35.7,88.8,-22.4,-22.4,59.3,2.6,36.5,89.7
0290/011,One Bush Street,1 BUSH ST,94104,439099,Office,http://propertymap.sfplanning.org/?&search=0290/011,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/13,Exempt - LEED EBOM,95,93,,-41.9,,2562.16,,89.4,,95,93.8,254,-42.3,,2108.3,,93.8,254,76,71.1,183.1,-25.8,-25.8,2108.3,5.5,71.2,183.3,95,70.2,191,-43,-43,2112.5,5.5,71.2,190.5,96,67.8,183.3,-46.9,-46.9,2036.6,5.3,68.2,182.6
3726/006,138 6TH ST,138 6TH ST,94103,20545, ,http://propertymap.sfplanning.org/?&search=3726/006,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/13,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4570/023,200 JENNINGS ST,200 JENNINGS ST,94124,43416, ,http://propertymap.sfplanning.org/?&search=4570/023,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/13,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3715/002,110 THE EMBARCADERO,110 THE EMBARCADERO,94105,12274, ,http://propertymap.sfplanning.org/?&search=3715/002,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - New Construction,4/1/23,Upcoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3550/012,25 14th Street,25 14TH ST,94103,34000,Other,http://propertymap.sfplanning.org/?&search=3550/012,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Violation - Insufficient Data,,Complied,,Complied,,Complied,,4/1/14,Complied,,,,,,,,,,,,,,,194.5,,,,,85.5,176.5,43.3,43.3,194.5,5.7,80.9,173.6,,98.6,201.9,64,64,223.6,6.6,103.7,202,,116.1,215.2,74.8,74.8,252.8,7.4,122.6,222.1
0271/027,530 Bush,530 BUSH ST,94108,119679,Office,http://propertymap.sfplanning.org/?&search=0271/027,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,11/15/12,Pending,55,76.5,,-5.9,,686.8,,76.5,,56,72.8,189.5,-6.7,,465.2,,72.8,189.5,89,55.1,137.2,-43.8,-43.8,465.2,4,55.1,137.2,84,59.6,149.9,-37.4,-37.4,505.3,4.4,61.6,152,89,52,136.5,-43.7,-43.7,449.7,3.9,51.1,133.9
3708/057,Market Center (555),555 MARKET ST,94105,342238,Office,http://propertymap.sfplanning.org/?&search=3708/057,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,4/1/13,Exempt - LEED EBOM,85,79.8,,-37.4,,2218.33,,75.2,,79,82.1,191.2,-31,,1807.8,,81.1,190.7,82,73.9,179.3,-34.9,-34.9,1807.8,5.6,74,179.5,86,65.8,165,-39.1,-39.1,1624.5,5,68.2,167.9,,,,,,,,,
0175/033,850 MONTGOMERY ST,850 MONTGOMERY ST,94133,25000,Office,http://propertymap.sfplanning.org/?&search=0175/033,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,4/1/14,Pending,,,,,,,,,,,,,,,104.3,,,,58,55.4,148.6,-8.9,-8.9,104.3,4.2,54,147.2,47,66,163.9,3.3,3.3,119.8,4.8,66,163.9,65,51.2,134.9,-16.5,-16.5,95.6,3.8,51.2,134.9
